Date,SPY,AGG,DBC,GLD
2007-05-21,108.611,58.451,21.559,65.67
2007-05-22,108.526,58.334,21.248,65.2
2007-05-23,108.54,58.287,21.349,65.54
2007-05-24,107.558,58.31,21.231,64.75
2007-05-25,108.006,58.281,21.492,64.94
2007-05-29,108.398,58.222,21.022,65.07
2007-05-30,109.281,58.293,21.223,64.72
2007-05-31,109.167,58.163,21.416,65.54
2007-06-01,109.708,58.103,21.576,66.44
2007-06-04,109.722,58.174,21.769,66.54
2007-06-05,109.288,58.009,21.685,66.37
2007-06-06,108.113,58.033,21.676,66.41
2007-06-07,106.162,57.632,21.786,65.26
2007-06-08,107.543,57.561,21.399,64.22
2007-06-11,107.729,57.603,21.811,64.7
2007-06-12,106.554,57.261,21.752,64.1
2007-06-13,108.149,57.349,22.029,64.53
2007-06-14,108.839,57.461,22.239,64.6
2007-06-15,109.459,57.667,22.373,64.85
2007-06-18,109.33,57.709,22.373,64.95
2007-06-19,109.602,57.891,22.155,65.48
2007-06-20,108.078,57.715,22.18,64.71
2007-06-21,108.679,57.644,22.079,64.56
2007-06-22,107.657,57.779,22.029,64.78
2007-06-25,107.142,57.832,21.945,64.43
2007-06-26,106.04,57.762,21.693,63.62
2007-06-27,107.549,57.874,21.66,63.67
2007-06-28,107.535,57.832,21.592,64.26
2007-06-29,107.571,57.944,21.576,64.27
2007-07-02,108.543,58.099,21.71,65.02
2007-07-03,108.937,58.034,21.735,64.74
2007-07-05,108.822,57.791,21.937,64.42
2007-07-06,109.394,57.691,22.121,64.96
2007-07-09,109.48,57.791,22.071,65.38
2007-07-10,107.921,58.04,22.231,65.61
2007-07-11,108.686,57.909,22.281,65.44
2007-07-12,110.402,57.85,22.34,66.02
2007-07-13,110.731,57.921,22.373,66.03
2007-07-16,110.717,58.04,21.979,65.82
2007-07-17,110.66,57.933,21.844,65.75
2007-07-18,110.46,58.081,22.096,66.62
2007-07-19,110.889,58.081,22.172,67.01
2007-07-20,109.766,58.217,22.163,67.58
2007-07-23,110.102,58.182,22.063,67.47
2007-07-24,108.193,58.3,21.895,67.47
2007-07-25,108.415,58.264,22.088,66.9
2007-07-26,105.847,58.472,21.853,65.65
2007-07-27,103.766,58.412,22.063,65.41
2007-07-30,105.39,58.383,21.811,65.77
2007-07-31,104.203,58.566,21.987,65.79
2007-08-01,104.71,58.43,21.953,65.93
2007-08-02,105.547,58.4,21.987,65.89
2007-08-03,102.83,58.656,21.744,66.69
2007-08-06,104.553,58.561,21.441,66.52
2007-08-07,105.669,58.519,21.559,66.48
2007-08-08,107.142,58.448,21.525,66.77
2007-08-09,103.967,58.519,21.357,65.46
2007-08-10,103.48,58.323,21.433,66.57
2007-08-13,103.852,58.43,21.282,66.26
2007-08-14,102.265,58.59,21.349,66.29
2007-08-15,100.856,58.668,21.509,66.13
2007-08-16,101.614,58.632,21.139,64.68
2007-08-17,103.48,58.763,21.122,65.01
2007-08-20,103.43,58.709,21.181,65.12
2007-08-21,103.638,58.983,21.148,65.07
2007-08-22,104.868,58.935,21.198,65.4
2007-08-23,104.775,59.006,21.265,65.31
2007-08-24,106.069,58.858,21.517,66.11
2007-08-27,105.082,59.036,21.542,65.98
2007-08-28,102.773,59.274,21.315,65.59
2007-08-29,104.789,59.155,21.517,66.07
2007-08-30,104.51,59.28,21.559,65.8
2007-08-31,105.54,59.315,21.567,66.52
2007-09-04,106.605,59.249,21.811,67.44
2007-09-05,105.683,59.44,21.853,67.56
2007-09-06,105.926,59.428,21.769,68.86
2007-09-07,104.453,59.798,21.912,69.39
2007-09-10,104.253,59.941,22.063,69.62
2007-09-11,105.468,59.834,22.113,70.52
2007-09-12,105.74,59.751,22.348,70.46
2007-09-13,106.484,59.577,22.18,70.08
2007-09-14,106.477,59.619,22.197,69.99
2007-09-17,105.905,59.643,22.457,70.97
2007-09-18,109.022,59.768,22.541,71.7
2007-09-19,109.666,59.756,22.734,71.43
2007-09-20,108.894,59.333,23.087,72.72
2007-09-21,109.188,59.506,23.246,72.34
2007-09-24,108.986,59.512,23.204,72.28
2007-09-25,108.771,59.56,23.036,72.33
2007-09-26,109.346,59.5,23.07,72.0
2007-09-27,109.992,59.601,23.674,72.7
2007-09-28,109.626,59.691,23.599,73.51
2007-10-01,110.862,59.489,23.355,73.9
2007-10-02,110.711,59.717,22.885,72.35
2007-10-03,110.488,59.747,22.911,71.9
2007-10-04,110.66,59.723,23.23,72.87
2007-10-05,111.975,59.25,23.297,73.4
2007-10-08,111.379,59.717,22.81,72.53
2007-10-09,112.428,59.591,22.969,73.09
2007-10-10,112.241,59.669,23.238,73.36
2007-10-11,111.702,59.711,23.498,73.91
2007-10-12,112.32,59.597,23.607,74.59
2007-10-15,111.372,59.615,24.01,75.14
2007-10-16,110.488,59.711,24.035,75.12
2007-10-17,110.826,59.915,23.91,74.5
2007-10-18,110.423,60.089,24.338,76.0
2007-10-19,107.535,60.364,24.271,75.7
2007-10-22,108.16,60.346,24.203,74.6
2007-10-23,109.037,60.328,24.035,75.23
2007-10-24,108.835,60.592,24.119,75.52
2007-10-25,109.094,60.436,24.682,76.03
2007-10-26,110.373,60.382,25.06,77.69
2007-10-29,110.739,60.382,25.471,78.12
2007-10-30,109.971,60.46,24.9,77.35
2007-10-31,111.113,60.293,25.605,78.62
2007-11-01,108.512,60.441,25.278,77.93
2007-11-02,108.634,60.507,25.824,79.83
2007-11-05,107.808,60.453,25.656,79.75
2007-11-06,109.259,60.375,26.327,81.43
2007-11-07,106.27,60.387,26.193,82.24
2007-11-08,105.732,60.447,26.126,82.23
2007-11-09,104.28,60.658,26.118,82.18
2007-11-12,103.246,60.574,25.547,78.3
2007-11-13,106.393,60.58,25.06,79.12
2007-11-14,106.098,60.555,25.622,80.28
2007-11-15,104.568,60.814,25.37,77.95
2007-11-16,104.747,60.772,25.454,77.75
2007-11-19,103.289,60.904,25.647,77.24
2007-11-20,103.921,60.778,26.285,79.47
2007-11-21,101.794,61.242,26.319,79.36
2007-11-23,103.555,60.929,26.562,81.25
2007-11-26,101.27,61.482,26.235,81.3
2007-11-27,102.434,61.229,26.025,80.1
2007-11-28,105.71,61.079,25.706,79.57
2007-11-29,105.746,61.254,25.765,78.28
2007-11-30,106.809,61.38,25.446,77.32
2007-12-03,106.105,61.704,25.631,78.28
2007-12-04,105.157,61.469,25.748,79.4
2007-12-05,106.917,61.354,25.555,78.63
2007-12-06,108.447,61.287,26.017,79.37
2007-12-07,108.426,60.937,25.933,78.6
2007-12-10,109.267,60.816,25.916,80.0
2007-12-11,106.27,61.112,26.143,78.84
2007-12-12,107.319,61.052,26.856,80.49
2007-12-13,107.097,60.816,26.571,78.5
2007-12-14,105.739,60.647,26.386,78.52
2007-12-17,104.23,60.738,26.257,78.13
2007-12-18,104.812,61.058,26.145,79.25
2007-12-19,104.812,61.185,26.395,79.24
2007-12-20,105.473,61.13,26.283,78.67
2007-12-21,106.993,60.865,26.593,80.1
2007-12-24,107.788,60.883,26.791,80.14
2007-12-26,108.019,60.695,27.109,81.52
2007-12-27,106.661,61.028,27.203,81.56
2007-12-28,106.394,61.356,27.117,83.0
2007-12-31,105.607,61.374,27.152,82.46
2008-01-02,104.682,61.665,27.9,84.86
2008-01-03,104.631,61.829,28.115,85.57
2008-01-04,102.067,61.957,27.952,85.13
2008-01-07,101.981,62.035,27.444,84.77
2008-01-08,100.334,62.193,27.694,86.78
2008-01-09,101.388,62.048,27.419,86.55
2008-01-10,102.053,61.92,27.289,88.25
2008-01-11,101.229,62.187,27.539,88.58
2008-01-14,102.046,62.236,27.883,89.54
2008-01-15,99.799,62.46,27.539,87.99
2008-01-16,98.94,62.272,27.281,86.7
2008-01-17,96.376,62.648,26.928,86.5
2008-01-18,95.386,62.636,27.031,87.42
2008-01-22,94.418,62.733,26.937,88.17
2008-01-23,96.686,62.545,26.429,87.89
2008-01-24,97.502,62.387,27.083,90.08
2008-01-25,96.094,62.496,27.685,90.3
2008-01-28,97.683,62.618,27.814,91.75
2008-01-29,98.167,62.424,28.047,91.15
2008-01-30,97.445,62.521,27.806,92.06
2008-01-31,99.222,62.794,27.943,91.4
2008-02-01,100.818,62.73,27.453,89.35
2008-02-04,99.547,62.693,27.935,89.1
2008-02-05,96.881,62.888,27.702,87.68
2008-02-06,96.101,62.839,27.573,88.95
2008-02-07,96.737,62.285,27.909,89.85
2008-02-08,96.116,62.584,28.743,91.0
2008-02-11,96.607,62.718,28.933,91.33
2008-02-12,97.502,62.693,28.348,89.33
2008-02-13,98.499,62.322,28.58,89.44
2008-02-14,97.632,62.127,29.156,89.71
2008-02-15,97.611,62.096,29.019,89.15
2008-02-19,97.885,61.798,29.965,91.58
2008-02-20,98.174,61.7,30.12,93.24
2008-02-21,97.358,62.206,29.956,93.25
